,index,id,amount_tsh,date_recorded,funder,gps_height,installer,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,latitude,longitude
0,21,6091,0.0,2013-02-10,Dwsp,0,DWE,Muungano,0,Lake Victoria,Ibabachegu,Shinyanga,17,1,Bariadi,Ikungulyabashashi,0,,GeoData Consultants Ltd,WUG,,False,0,swn 80,swn 80,handpump,wug,user-group,unknown,unknown,unknown,unknown,unknown,unknown,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
1,53,32376,0.0,2011-08-01,Government Of Tanzania,0,Government,Polisi,0,Lake Victoria,Center,Mwanza,19,6,Geita,Nyang'hwale,0,True,GeoData Consultants Ltd,VWC,Nyang'hwale,True,0,submersible,submersible,submersible,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,-2.3260779,31.858254294902203
2,168,72678,0.0,2013-01-30,Wvt,0,WVT,Wvt Tanzania,0,Lake Victoria,Ilula,Shinyanga,17,1,Bariadi,Chinamili,0,False,GeoData Consultants Ltd,Parastatal,,False,0,gravity,gravity,gravity,parastatal,parastatal,other,other,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,-2.6726957000000002,34.435503984842775
3,177,56725,0.0,2013-01-17,Netherlands,0,DWE,Kikundi Cha Wakina Mama,0,Lake Victoria,Mahaha,Shinyanga,17,1,Bariadi,Bunamhala,0,,GeoData Consultants Ltd,WUG,,False,0,other,other,other,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,-2.6726957000000002,34.435503984842775
4,253,13042,0.0,2012-10-29,Hesawa,0,DWE,Kwakisusi,0,Lake Victoria,Nyamatala,Mwanza,19,2,Magu,Malili,0,True,GeoData Consultants Ltd,,,True,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,-17.8092173,-63.3387606
5,256,33500,0.0,2011-07-18,Hesawa,0,DWE,Bombani,0,Lake Victoria,Ujamaa,Mwanza,19,6,Geita,Kalangalala,0,True,GeoData Consultants Ltd,VWC,Borehole,True,0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
6,285,71487,0.0,2012-10-25,Ridep,0,DWE,Nyanguruma,0,Lake Victoria,Nyalwashi,Mwanza,19,2,Magu,Shigala,0,True,GeoData Consultants Ltd,,,True,0,swn 80,swn 80,handpump,vwc,user-group,pay when scheme fails,on failure,salty,salty,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,-17.8092173,-63.3387606
7,301,70379,0.0,2011-07-18,Government Of Tanzania,0,Government,Nersing College,0,Lake Victoria,Nyanza,Mwanza,19,6,Geita,Kalangalala,0,True,GeoData Consultants Ltd,VWC,Borehole,True,0,afridev,afridev,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
8,306,59713,0.0,2011-07-30,Plan International,0,Plan Internationa,Petro,0,Lake Victoria,Mwabasabi,Mwanza,19,6,Geita,Kasamwa,0,True,GeoData Consultants Ltd,VWC,,True,0,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,-2.3260779,31.858254294902203
9,321,45415,0.0,2013-01-22,Dwsp,0,DWE,Upendo,0,Lake Victoria,Sunzula Madukani,Shinyanga,17,1,Bariadi,Zagayu,0,,GeoData Consultants Ltd,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,-2.6726957000000002,34.435503984842775
10,323,51403,0.0,2013-02-16,Dwsp,0,DWE,Serengeti,0,Lake Victoria,Madukani,Mwanza,17,1,Magu,Nkungulu,0,,GeoData Consultants Ltd,WUG,,False,0,other,other,other,wug,user-group,unknown,unknown,soft,good,enough,enough,other,other,unknown,other,other,-17.8092173,-63.3387606
